preprocessed_review,sentiment
['hated cocktail hello please concierge promised the complimentary cocktail and watered at southern standard georgia standard cocktail oh nt she think trying sneak extra people your room remember you happened by paul mccartney'],-1
big problem hotel cancelled reservation hotel globus florence nearly year refuse refund money charged week deposit day response money stay stay place follow good business practice,-1
pas ach leidse square pas hotel room small dingy moved nh corner happier,0
stay losing ground stay hotel beginning wear room taken carpet quite stained room small delux rate second room housekeeping problem soil bathroom sink using bar weekend unless year old nt mind standing shouting getting near bar suggestion open coffee bar night drink use large living room relaxing cocktail lounge service restaurant night wonderful breakfast service slow breakfast comesi believe family visit amy try hotel,-1
['nasty hotel worse totaly avoided hotel realy bad maintance issue need pulled downand rebuilt worse holiday life traveled start block shower room puddle water bathroom actualy good thought toilet leaking rained entire roof bathroom pour rain water went electric wire ofthe aircon aircon broke room contined floodthey called maintance took false ceiling fix showed extent problem shook head leak fixed going time hotel room max occupancy rain caribean alot hotel geared cope power outage to make water sytem break ie electicno flushing toilet rain water flood path deep resturants everning wearing yourfeet rain water spring swept swiming pool theswimming pool went green closed went inclusive choice beer final week lager diferent colour wrist band pecking order hotel wrong colourband dont served in bar hour hotel caribean great length hawker away hotel invite team hawker lobby pestering join travel club annoying persistant ala carte resturants rubbish choice available set menu tryed botheragain second week beech room naff busy oxford steet saterday afternoon sunbed reserve towel decent spotaround pool staff totaly unhelpfull unless tip loose alot hotel resort totaly recomend chose different untill maintance isssus fixed ie nock roll rebuild lobby bar roof leaked saw plenty poeple slipping hurting wet floor disco nasty let local outside work dont'],-1
['big quiet room banging loud techno paid stopover stay rate hotel star bed best musty place smell old furniture horrible dirty bathroom onsite... disco boot noise buzzing bad banging techno what started midnight continued long night took sleep recommended unless needed shopping orchard nt plan sleep'],-1
['worst hotel table slept end hotel april attending conference san juan hotel travel advice hotel available guest room puerto rico simply great look destination puerto caribbean the stay home place is horrible breakfast rubbish bath room dirty dark shower like not expect prison building dismal lack amenity swimming bath pool like bathtub neighbor little noise prepare sleepless night wall like paper location terrible appalling experience price better hotel united state caribbean'],-1
['controversial upper tier pricing tried out booking hotel day no stay june discover offer higher level pricing productindonesians pay lowest price never followed thai malaysian singopreans westernersthis best opportunism worst overt racism nothing market ability pay special deal pole brazilian time heard attitude like europe staying alone distateful discourages visiting wrong countryi hear them busy noises nt people deserve'],-1
['big disappointment wife booked square foot luxury corner suite night check series promise kept waiting todler hour cost room nt tell reservation booked room suite nt corrected happily done room price room suite large dated bathroom standard star hotel nt heat long wait suite tv remote missing room toilet nt work stop left morning bellman proudly told nt need cab run destination one block away hotel town car sure went got wife child luggage different bellman met explained call car gone without mistake to took cab driving right ran past hotel town car remained parked drive star experience best disorganised disrespectful'],0
noisy stayed bali garden sep problem room went far write size complaint fell deaf eari power room hour noise bad nt stay superior unless real heavy sleeper nt mind noise cemetary door cremation regularlythe pool light wire exposed pool ay april know way september december manager aussie time worsethe lift nt work nt working month ifound got injured bali returned hotel wheelchair room rd floor room ground floor,-1
